Poll_spec,Poll_order,Julian_day,Plant_spec,Freq,Ele_m,Lat,Lon,Period
Bombus centralis,Hymenoptera,216,Geranium caespitosum,1,2612.170166,38.90083699,-104.99119,Present
Bombus centralis,Hymenoptera,216,Geranium caespitosum,1,2612.170166,38.90083699,-104.99119,Present
Bombus centralis,Hymenoptera,216,Geranium caespitosum,1,2612.170166,38.90083699,-104.99119,Present
Bombus centralis,Hymenoptera,216,Geranium caespitosum,1,2612.170166,38.90083699,-104.99119,Present
Bombus centralis,Hymenoptera,195,Geranium caespitosum,1,2616.707031,38.90073398,-104.99097,Present
Bombus centralis,Hymenoptera,214,Allium cernuum,1,2681.76123,38.90290196,-104.990601,Present
Bombus centralis,Hymenoptera,211,Allium cernuum,1,2746.651367,38.87506197,-104.986807,Present
Bombus centralis,Hymenoptera,162,Corydalis aurea subsp. aurea,1,2797.42554,38.884915,-104.98671,Present
Hylaeus wootoni,Hymenoptera,164,Mertensia lanceolata,1,2627.28125,38.890485,-104.97722,Present
Thaumatomyia sp.,Diptera,178,Fragaria vesca/virginiana,1,2623.780273,38.89049004,-104.977191,Present
Bombus centralis,Hymenoptera,196,Penstemon virens,1,2822.174805,38.88591704,-104.98646,Present
Mythicomyia sp.,Diptera,178,Saxifraga bronchialis subsp. austromontana,1,2630.510498,38.89043899,-104.977157,Present
Bombus centralis,Hymenoptera,198,Allium cernuum,1,2820.973389,38.88607596,-104.986274,Present
Euphydryas anica,Lepidoptera,189,Sedum lanceolatum,1,2639.150391,38.89027798,-104.977153,Present
Bombus centralis,Hymenoptera,196,Frasera speciosa,1,2828.966064,38.88620303,-104.985944,Present
Tachinidae spp.,Diptera,205,Zigadenus elegans,1,2606.628174,38.89078097,-104.977136,Present
Bombus centralis,Hymenoptera,198,Frasera speciosa,1,2824.553711,38.886155,-104.985899,Present
Hylaeus wootoni,Hymenoptera,189,Sedum lanceolatum,1,2629.758301,38.89044603,-104.977133,Present
Lasioglossum (Dialictus) spp.,Hymenoptera,189,Sedum lanceolatum,1,2629.758301,38.89044603,-104.977133,Present
Bombus centralis,Hymenoptera,212,Frasera speciosa,1,2845.597412,38.88878399,-104.985112,Present
Bombus centralis,Hymenoptera,212,Frasera speciosa,1,2845.597412,38.88878399,-104.985112,Present
Celastrina spp.,Lepidoptera,153,Arctostaphylos uva-ursi,1,2606.101807,38.89052901,-104.977122,Present
Attalus sp.,Coleoptera,170,Jamesia americana var. americana,2,2479.28833,38.84937102,-104.946684,Present
Bombus centralis,Hymenoptera,212,Frasera speciosa,1,2845.597412,38.88878399,-104.985112,Present
Nysius sp.,Hemiptera,154,Fragaria vesca/virginiana,1,2630.538818,38.89043598,-104.977105,Present
Tapinoma sessile,Hymenoptera,178,Erysimum capitatum,1,2626.585938,38.89025501,-104.977101,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2840.122314,38.88828903,-104.985043,Present
Adejeania vexatrix,Diptera,205,Senecio bigelovii var. hallii,1,2627.792725,38.89044997,-104.977026,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2841.297119,38.88883201,-104.984554,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2841.297119,38.88883201,-104.984554,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2841.297119,38.88883201,-104.984554,Present
Andrena spp.,Hymenoptera,188,Rubus idaeus var. strigosus,1,2623.441895,38.90225898,-104.992427,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2841.297119,38.88883201,-104.984554,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2841.297119,38.88883201,-104.984554,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2841.297119,38.88883201,-104.984554,Present
Attalus sp.,Coleoptera,169,Rubus deliciosus,1,2442.471191,38.84966296,-104.946342,Present
Attalus sp.,Coleoptera,171,Potentilla fissa,1,2411.918457,38.84884497,-104.945694,Present
Attalus sp.,Coleoptera,171,Potentilla fissa,1,2411.918457,38.84884497,-104.945694,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2841.297119,38.88883201,-104.984554,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2841.297119,38.88883201,-104.984554,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2841.297119,38.88883201,-104.984554,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2841.297119,38.88883201,-104.984554,Present
Osmia cordata,Hymenoptera,143,Mertensia lanceolata,1,2606.960205,38.89075499,-104.976832,Present
Osmia proxima,Hymenoptera,143,Mertensia lanceolata,1,2606.960205,38.89075499,-104.976832,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2841.297119,38.88883201,-104.984554,Present
Bombus centralis,Hymenoptera,217,Allium cernuum,1,2834.56665,38.88781001,-104.984375,Present
Heriades cressoni,Hymenoptera,217,Solidago simplex var. simplex,1,2610.15845,38.890806,-104.97682,Present
Bombus centralis,Hymenoptera,203,Chamaenerion angustifolium,1,2817.388916,38.88902103,-104.984095,Present
Bombus centralis,Hymenoptera,203,Chamaenerion angustifolium,1,2817.388916,38.88902103,-104.984095,Present
Phasia sp.,Diptera,178,Erigeron speciosus,1,2609.393311,38.89078097,-104.976673,Present
Euphydryas anica,Lepidoptera,189,Erigeron speciosus,1,2609.945068,38.89068299,-104.976666,Present
Clausicella sp.,Diptera,205,Erigeron subtrinervis,1,2604.5874,38.890728,-104.97666,Present
Bombus centralis,Hymenoptera,203,Chamaenerion angustifolium,1,2817.388916,38.88902103,-104.984095,Present
Hylaeus modestus,Hymenoptera,217,Achillea millefolium,1,2607.843262,38.89072096,-104.976604,Present
Euphydryas anica,Lepidoptera,189,Achillea millefolium,1,2605.78809,38.89065,-104.97659,Present
Hemipenthes spp.,Diptera,211,Erigeron formosissimus,1,2637.660156,38.90356396,-104.992088,Present
Lygaeidae spp.,Hemiptera,196,Achillea millefolium,1,2604.165039,38.89071099,-104.97654,Present
Nysius sp.,Hemiptera,196,Achillea millefolium,1,2604.165039,38.89071099,-104.97654,Present
Bombus centralis,Hymenoptera,203,Chamaenerion angustifolium,1,2817.388916,38.88902103,-104.984095,Present
Coquillettia sp.,Hemiptera,196,Achillea millefolium,1,2604.165039,38.89071099,-104.97654,Present
Attalus sp.,Coleoptera,162,Rubus deliciosus,1,2370.077881,38.84998298,-104.945147,Present
Attalus sp.,Coleoptera,162,Jamesia americana var. americana,1,2346.933838,38.84992498,-104.944789,Present
Attalus sp.,Coleoptera,162,Rubus deliciosus,1,2337.374268,38.85011299,-104.94471,Present
Formica (fusca group) spp.,Hymenoptera,205,Allium cernuum,1,2601.679688,38.89065801,-104.976434,Present
Bombus centralis,Hymenoptera,181,Jamesia americana var. americana,1,2828.045654,38.88913502,-104.983867,Present
Bombus centralis,Hymenoptera,198,Heterotheca villosa,1,2815.432129,38.88872196,-104.983426,Present
Megachile campanulae,Hymenoptera,203,Campanula rotundifolia,1,2603.804688,38.890613,-104.976414,Present
Lapposyrphus lapponicus,Diptera,181,Geranium caespitosum,1,2607.000977,38.90079299,-104.991184,Present
Bombus centralis,Hymenoptera,162,Penstemon virens,1,2812.341797,38.88858701,-104.983157,Present
Iteaphila spp.,Diptera,154,Taraxacum officinale,1,2601.246826,38.89060596,-104.976402,Present
Bombus centralis,Hymenoptera,203,Solidago missouriensis,1,2772.177002,38.88842097,-104.981567,Present
Hylaeus verticalis,Hymenoptera,189,Sedum lanceolatum,1,2601.652344,38.89053103,-104.976389,Present
Ligyrocoris delitus,Hemiptera,205,Achillea millefolium,1,2600.257324,38.89059003,-104.976356,Present
Hylaeus modestus,Hymenoptera,205,Campanula rotundifolia,1,2601.107422,38.890311,-104.976342,Present
Bombus centralis,Hymenoptera,154,Mertensia lanceolata,1,2756.859375,38.88831703,-104.980719,Present
Lasioglossum (Dialictus) spp.,Hymenoptera,153,Taraxacum officinale,1,2595.987549,38.89041603,-104.976338,Present
Formica spp.,Hymenoptera,143,Erysimum capitatum,3,2597.93701,38.890361,-104.97631,Present
Vanessa cardui,Lepidoptera,143,Erysimum capitatum,1,2597.93701,38.890361,-104.97631,Present
Lapposyrphus lapponicus,Diptera,169,Penstemon virens,1,2611.467529,38.90052301,-104.989733,Present
Bombus centralis,Hymenoptera,203,Oreochrysum parryi,1,2755.719971,38.88829499,-104.980592,Present
Liorhyssus hyalinus,Hemiptera,178,Erysimum capitatum,1,2600.11084,38.89030698,-104.976298,Present
Bombus centralis,Hymenoptera,203,Solidago simplex var. simplex,1,2760.151123,38.88828401,-104.980552,Present
Formica (fusca group) spp.,Hymenoptera,178,Erysimum capitatum,3,2600.11084,38.89030698,-104.976298,Present
Formica (rufa group) sp.,Hymenoptera,178,Erysimum capitatum,3,2600.11084,38.89030698,-104.976298,Present
Bombus centralis,Hymenoptera,203,Solidago simplex var. simplex,1,2760.151123,38.88828401,-104.980552,Present
Formica (fusca group) spp.,Hymenoptera,154,Erysimum capitatum,4,2604.990234,38.89037596,-104.976265,Present
Coquillettia sp.,Hemiptera,205,Solidago simplex var. simplex,1,2598.34155,38.890267,-104.97626,Present
Hoplitis albifrons,Hymenoptera,150,Penstemon virens,1,2602.788086,38.89040496,-104.976237,Present
Formica (fusca group) spp.,Hymenoptera,150,Mertensia lanceolata,1,2607.09497,38.890415,-104.97623,Present
Formica (fusca group) spp.,Hymenoptera,217,Verbascum thapsus,4,2600.289795,38.89040798,-104.976227,Present
Agromyzidae spp.,Diptera,198,Mirabilis linearis var. linearis,1,2074.780762,38.85894701,-104.934596,Present
Hylaeus wootoni,Hymenoptera,195,Solidago missouriensis,1,2593.083496,38.89042399,-104.976211,Present
Bombus centralis,Hymenoptera,195,Geranium caespitosum,1,2754.40283,38.8883,-104.98036,Present
Hoplitis albifrons,Hymenoptera,185,Penstemon virens,1,2600.67334,38.89038602,-104.976166,Present
Bombus centralis,Hymenoptera,195,Geranium caespitosum,1,2754.40283,38.8883,-104.98036,Present
Hylaeus wootoni,Hymenoptera,217,Dietra bigelovii,1,2594.03931,38.89045,-104.97613,Present
Euphydryas spp.,Lepidoptera,181,Achillea millefolium,1,2591.92822,38.890545,-104.97613,Present
Formica (fusca group) spp.,Hymenoptera,154,Mertensia lanceolata,1,2597.63574,38.89054,-104.97611,Present
Attalus sp.,Coleoptera,162,Rubus deliciosus,1,2337.374268,38.85011299,-104.94471,Present
Selasphorus platycercus,Apodiformes,205,Penstemon barbatus subsp. torreyi,1,2592.143066,38.89060797,-104.976101,Present
Bombus centralis,Hymenoptera,195,Geranium caespitosum,1,2754.40283,38.8883,-104.98036,Present
Bombus centralis,Hymenoptera,203,Solidago simplex var. simplex,1,2743.834473,38.88847101,-104.979628,Present
Bombus centralis,Hymenoptera,195,Senecio bigelovii var. hallii,1,2759.366943,38.88830898,-104.979524,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2744.966064,38.88866002,-104.979517,Present
Formica (fusca group) spp.,Hymenoptera,205,Achillea millefolium,1,2591.779053,38.89054201,-104.976091,Present
Bombus centralis,Hymenoptera,185,Chamaenerion angustifolium,1,2744.387939,38.88873403,-104.979293,Present
Bombus centralis,Hymenoptera,203,Cirsium arvense,1,2742.416016,38.88871098,-104.979161,Present
Bombus centralis,Hymenoptera,203,Cirsium arvense,1,2742.416016,38.88871098,-104.979161,Present
Bombus centralis,Hymenoptera,198,Geranium caespitosum,1,2721.715088,38.88863102,-104.978687,Present
Bombus centralis,Hymenoptera,203,Geranium caespitosum,1,2718.450684,38.88870897,-104.978587,Present
Bombus centralis,Hymenoptera,195,Allium cernuum,1,2688.208252,38.88976098,-104.978349,Present
Bombus centralis,Hymenoptera,196,Heuchera hallii,1,2708.758545,38.88937399,-104.978277,Present
Bombus centralis,Hymenoptera,203,Chamaenerion angustifolium,1,2715.017334,38.88877803,-104.978266,Present
Colletes consors,Hymenoptera,188,Hydrophyllum fendleri var. fendleri,1,2624.34009,38.902717,-104.99242,Present
Bombus centralis,Hymenoptera,203,Chamaenerion angustifolium,1,2715.017334,38.88877803,-104.978266,Present
Bombus centralis,Hymenoptera,203,Chamaenerion angustifolium,1,2715.017334,38.88877803,-104.978266,Present
Bombus centralis,Hymenoptera,185,Geranium caespitosum,1,2713.120605,38.88888499,-104.978215,Present
Bombus centralis,Hymenoptera,203,Geranium caespitosum,1,2705.22998,38.88888801,-104.978206,Present
Attalus sp.,Coleoptera,170,Potentilla fissa,1,2349.636475,38.84923096,-104.944601,Present
Bombus centralis,Hymenoptera,203,Geranium caespitosum,1,2705.22998,38.88888801,-104.978206,Present
Nysius sp.,Hemiptera,203,Achillea millefolium,1,2596.207031,38.89050596,-104.976074,Present
Bombus centralis,Hymenoptera,203,Geranium caespitosum,1,2705.22998,38.88888801,-104.978206,Present
Hoplitis albifrons,Hymenoptera,185,Penstemon virens,1,2590.136963,38.89062197,-104.976067,Present
Bombus centralis,Hymenoptera,203,Geranium caespitosum,1,2705.22998,38.88888801,-104.978206,Present
Bombus centralis,Hymenoptera,189,Chamaenerion angustifolium,1,2720.95435,38.888733,-104.97811,Present
Bombus centralis,Hymenoptera,189,Chamaenerion angustifolium,1,2720.95435,38.888733,-104.97811,Present
Bombus centralis,Hymenoptera,189,Chamaenerion angustifolium,1,2720.95435,38.888733,-104.97811,Present
Bombus centralis,Hymenoptera,205,Senecio bigelovii var. hallii,1,2685.46265,38.889699,-104.97806,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2659.651123,38.88994496,-104.977769,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2659.651123,38.88994496,-104.977769,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2659.651123,38.88994496,-104.977769,Present
Bombus centralis,Hymenoptera,203,Frasera speciosa,1,2659.651123,38.88994496,-104.977769,Present
Bombus centralis,Hymenoptera,217,Allium cernuum,1,2683.49194,38.88957,-104.97775,Present
Bombus centralis,Hymenoptera,195,Senecio bigelovii var. hallii,1,2643.228027,38.89020799,-104.977623,Present
Bombus centralis,Hymenoptera,195,Senecio bigelovii var. hallii,1,2642.544434,38.89029801,-104.977596,Present
Bombus centralis,Hymenoptera,162,Pedicularis canadensis subsp. fluviatilis,1,2635.625732,38.87775499,-104.977493,Present
Bombus centralis,Hymenoptera,205,Senecio bigelovii var. hallii,1,2638.692139,38.89037898,-104.977261,Present
Bombus centralis,Hymenoptera,203,Allium cernuum,1,2628.656738,38.89047403,-104.97719,Present
Andrena w-scripta,Hymenoptera,164,Rubus deliciosus,1,2754.38062,38.888008,-104.97987,Present
Bombus centralis,Hymenoptera,205,Senecio bigelovii var. hallii,1,2621.002441,38.89047897,-104.977157,Present
Bombus centralis,Hymenoptera,189,Sedum lanceolatum,1,2629.758301,38.89044603,-104.977133,Present
Bombus centralis,Hymenoptera,205,Senecio bigelovii var. hallii,1,2625.58813,38.890329,-104.97704,Present
Bombus centralis,Hymenoptera,195,Senecio bigelovii var. hallii,1,2613.91431,38.890705,-104.97699,Present
Bombus centralis,Hymenoptera,196,Allium cernuum,1,2785.48047,38.922852,-105.0214,Present
Hoplitis producta,Hymenoptera,167,Penstemon virens,1,2594.022705,38.89022098,-104.976047,Present
Bombus centralis,Hymenoptera,217,Allium cernuum,1,2610.15845,38.890806,-104.97682,Present
Colletes eulophi,Hymenoptera,195,Penstemon barbatus subsp. torreyi,1,2593.63086,38.890651,-104.97604,Present
Bombus centralis,Hymenoptera,205,Allium cernuum,1,2604.5874,38.890728,-104.97666,Present
Selasphorus platycercus,Apodiformes,203,Penstemon barbatus subsp. torreyi,1,2590.204834,38.89057302,-104.976037,Present
Bombus centralis,Hymenoptera,196,Allium cernuum,1,2792.31372,38.923043,-105.02137,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2770.06421,38.925287,-105.02191,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2770.06421,38.925287,-105.02191,Present
Euphydryas anica,Lepidoptera,189,Sedum lanceolatum,1,2594.754883,38.89053304,-104.975974,Present
Osmia tristella,Hymenoptera,161,Penstemon virens,1,2583.230957,38.89036599,-104.975971,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2770.06421,38.925287,-105.02191,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2770.06421,38.925287,-105.02191,Present
Osmia tristella,Hymenoptera,178,Penstemon virens,1,2581.317627,38.89035702,-104.975963,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2770.06421,38.925287,-105.02191,Present
Muscidae spp.,Diptera,154,Penstemon virens,2,2585.94043,38.89035299,-104.975961,Present
Selasphorus platycercus,Apodiformes,205,Penstemon barbatus subsp. torreyi,1,2586.64429,38.890335,-104.97596,Present
Osmia bruneri,Hymenoptera,150,Penstemon virens,1,2590.4165,38.890471,-104.97596,Present
Attalus sp.,Coleoptera,169,Potentilla fissa,1,2350.028564,38.84924102,-104.944568,Present
Hylaeus spp.,Hymenoptera,217,Achillea millefolium,1,2592.60425,38.890461,-104.97592,Present
Lasioglossum (Lasioglossum) spp.,Hymenoptera,217,Senecio bigelovii var. hallii,1,2592.60425,38.890461,-104.97592,Present
Attalus sp.,Coleoptera,170,Potentilla fissa,3,2346.519043,38.84920003,-104.944502,Present
Andrena spp.,Hymenoptera,195,Geranium caespitosum,1,2719.114258,38.88876102,-104.978187,Present
Andrena spp.,Hymenoptera,205,Senecio bigelovii var. hallii,1,2595.05322,38.890533,-104.97605,Present
Attalus sp.,Coleoptera,161,Physocarpus monogynus,1,2337.414307,38.84971904,-104.944486,Present
Bombus centralis,Hymenoptera,178,Penstemon virens,1,2600.11084,38.89030698,-104.976298,Present
Euphydryas spp.,Lepidoptera,181,Achillea millefolium,1,2579.112305,38.89035601,-104.97586,Present
Bombus centralis,Hymenoptera,195,Allium cernuum,1,2600.11816,38.890429,-104.97629,Present
Attalus sp.,Coleoptera,171,Rubus deliciosus,1,2329.251221,38.84967696,-104.944482,Present
Pseudomasaris vespoides,Hymenoptera,176,Penstemon virens,1,2578.781006,38.89042097,-104.975832,Present
Osmia iridis,Hymenoptera,163,Iris missouriensis,1,2640.278809,38.87806797,-104.975824,Present
Attalus sp.,Coleoptera,171,Potentilla fissa,3,2329.251221,38.84967696,-104.944482,Present
Attalus sp.,Coleoptera,171,Packera fendleri,1,2341.364502,38.84931704,-104.944468,Present
Lygaeus kalmii,Hemiptera,211,Solidago missouriensis,1,2579.090088,38.89052399,-104.975807,Present
Lapposyrphus lapponicus,Diptera,165,Rubus deliciosus,1,2552.382324,38.89647698,-104.985247,Present
Bombus centralis,Hymenoptera,205,Allium cernuum,1,2597.55542,38.890513,-104.976158,Present
Hylaeus affinis,Hymenoptera,198,Geranium caespitosum,1,2577.557617,38.89086898,-104.975803,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2770.06421,38.925287,-105.02191,Present
Hylaeus verticalis,Hymenoptera,185,Penstemon virens,1,2583.897461,38.89049004,-104.975779,Present
Bombus centralis,Hymenoptera,196,Allium cernuum,1,2792.45166,38.92289104,-105.021437,Present
Euphydryas anica,Lepidoptera,181,Sedum lanceolatum,1,2580.63989,38.890668,-104.97577,Present
Osmia bruneri,Hymenoptera,192,Sedum lanceolatum,1,2572.362549,38.89073697,-104.975743,Present
Vanessa cardui,Lepidoptera,150,Erysimum capitatum,1,2581.349854,38.89048803,-104.975742,Present
Formica (fusca group) spp.,Hymenoptera,154,Erysimum capitatum,1,2578.904297,38.89046699,-104.975739,Present
Attalus sp.,Coleoptera,169,Jamesia americana var. americana,1,2326.411621,38.84957504,-104.944388,Present
Euphydryas anica,Lepidoptera,178,Packera fendleri,1,2580.417969,38.89060797,-104.975736,Present
Bombus centralis,Hymenoptera,196,Frasera speciosa,1,2816.439697,38.923416,-105.020238,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2760.283447,38.92533797,-105.021878,Present
Osmia montana,Hymenoptera,178,Packera fendleri,1,2580.845459,38.89065298,-104.975705,Present
Attalus sp.,Coleoptera,171,Erigeron vetensis,1,2316.057373,38.84951703,-104.944125,Present
Megachile comata,Hymenoptera,205,Senecio fremontii var. blitoides,1,2565.63477,38.890847,-104.97569,Present
Halictus tripartitus,Hymenoptera,189,Achillea millefolium,1,2574.414795,38.89083001,-104.975681,Present
Microchaetina sp.,Diptera,205,Achillea millefolium,1,2578.87793,38.89064997,-104.975678,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2760.283447,38.92533797,-105.021878,Present
Osmia coloradensis,Hymenoptera,150,Draba streptocarpa,1,2578.602295,38.89069296,-104.975648,Present
Attalus sp.,Coleoptera,155,Prunus virginiana var. melanocarpa,1,2325.862061,38.85603103,-104.941881,Present
Heriades cressoni,Hymenoptera,181,Erigeron speciosus,1,2569.237793,38.89072096,-104.975566,Present
Attalus sp.,Coleoptera,149,Rubus deliciosus,1,2128.461914,38.85311999,-104.938223,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2760.283447,38.92533797,-105.021878,Present
Euphydryas anica,Lepidoptera,181,Achillea millefolium,1,2568.349854,38.89080897,-104.975546,Present
Euphydryas anica,Lepidoptera,189,Erigeron speciosus,1,2569.93384,38.890744,-104.97553,Present
Osmia bruneri,Hymenoptera,196,Sedum lanceolatum,1,2566.032715,38.89083697,-104.975514,Present
Osmia juxta,Hymenoptera,196,Sedum lanceolatum,1,2566.032715,38.89083697,-104.975514,Present
Andrena spp.,Hymenoptera,177,Actaea rubra,1,2692.953125,38.85608501,-104.958797,Present
Aphididae spp.,Hemiptera,178,Castilleja miniata,1,2569.076172,38.89064804,-104.97549,Present
Lasioglossum (Lasioglossum) spp.,Hymenoptera,189,Achillea millefolium,1,2848.084473,38.85406899,-104.97549,Present
Argynnini spp.,Lepidoptera,150,Erysimum capitatum,1,2568.644775,38.89065902,-104.975472,Present
Bracon sp.,Hymenoptera,173,Stanleya pinnata,1,1932.913086,38.877181,-104.875334,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2760.283447,38.92533797,-105.021878,Present
Smidtia fumiferanae,Diptera,154,Erysimum capitatum,1,2571.545898,38.89070998,-104.975459,Present
Lasioglossum (Lasioglossum) spp.,Hymenoptera,154,Erysimum capitatum,1,2571.545898,38.89070998,-104.975459,Present
Attalus sp.,Coleoptera,149,Rubus deliciosus,1,2128.461914,38.85311999,-104.938223,Present
Attalus sp.,Coleoptera,179,Holodiscus dumosus,1,2122.796875,38.85330297,-104.937779,Present
Hylaeus wootoni,Hymenoptera,205,Solidago missouriensis,1,2570.949707,38.89072096,-104.975456,Present
Hylaeus wootoni,Hymenoptera,205,Solidago missouriensis,1,2570.949707,38.89072096,-104.975456,Present
Attalus sp.,Coleoptera,183,Holodiscus dumosus,1,2124.390869,38.85334404,-104.937756,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2760.283447,38.92533797,-105.021878,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2760.283447,38.92533797,-105.021878,Present
Halictus tripartitus,Hymenoptera,217,Erigeron subtrinervis,1,2567.71289,38.890667,-104.97543,Present
Bombus centralis,Hymenoptera,205,Allium cernuum,1,2599.85156,38.89042,-104.97609,Present
Dianthidium ulkei,Hymenoptera,217,Heterotheca villosa,1,2572.2854,38.89083001,-104.975426,Present
Formica lasioides,Hymenoptera,153,Taraxacum officinale,1,2563.247314,38.89069799,-104.975416,Present
Halictus tripartitus,Hymenoptera,153,Taraxacum officinale,1,2563.247314,38.89069799,-104.975416,Present
Bombus centralis,Hymenoptera,196,Geranium caespitosum,1,2760.283447,38.92533797,-105.021878,Present
Attalus sp.,Coleoptera,183,Holodiscus dumosus,1,2124.390869,38.85334404,-104.937756,Present
Lygaeidae spp.,Hemiptera,181,Sedum lanceolatum,1,2559.802,38.890887,-104.97537,Present
Attalus sp.,Coleoptera,174,Opuntia polyacantha,1,2201.588379,38.86258098,-104.937479,Present
Attalus sp.,Coleoptera,198,Senecio eremophilus var. kingii,1,2100.64624,38.859748,-104.93515,Present
Bombus centralis,Hymenoptera,196,Rosa acicularis subsp. sayi,1,2780.86792,38.92405998,-105.02189,Present
Bombus centralis,Hymenoptera,196,Rosa acicularis subsp. sayi,1,2780.86792,38.92405998,-105.02189,Present
Bombus centralis,Hymenoptera,196,Rosa acicularis subsp. sayi,1,2780.86792,38.92405998,-105.02189,Present
Bombus centralis,Hymenoptera,196,Rosa acicularis subsp. sayi,1,2780.86792,38.92405998,-105.02189,Present
Ashmeadiella curriei curriei,Hymenoptera,167,Penstemon virens,1,2563.450439,38.89086404,-104.975334,Present
Osmia proxima,Hymenoptera,167,Penstemon virens,1,2563.450439,38.89086404,-104.975334,Present
Arhyssus sp.,Hemiptera,196,Frasera speciosa,1,2553.859863,38.89090796,-104.97526,Present
Bombus centralis,Hymenoptera,196,Melilotus officinalis,1,2813.990234,38.92172797,-105.02526,Present
Bombus centralis,Hymenoptera,199,Rubus idaeus var. strigosus,1,2784.599121,38.922898,-105.02169,Present
Attalus sp.,Coleoptera,155,Erysimum capitatum,1,2060.713135,38.85569097,-104.934623,Present
Halictus tripartitus,Hymenoptera,195,Allium cernuum,1,2550.768799,38.89092598,-104.975145,Present
Megachile melanophaea,Hymenoptera,181,Campanula rotundifolia,1,2564.630127,38.89081601,-104.975141,Present
Bombus centralis,Hymenoptera,199,Allium cernuum,1,2799.063965,38.92293999,-105.021427,Present
Bombus centralis,Hymenoptera,199,Chamaenerion angustifolium,1,2776.729492,38.924193,-105.022234,Present
Bombus centralis,Hymenoptera,199,Rosa acicularis subsp. sayi,1,2794.617676,38.92408202,-105.021884,Present
Bombus centralis,Hymenoptera,199,Geranium caespitosum,1,2761.229492,38.92533101,-105.021909,Present
Attalus sp.,Coleoptera,198,Nepeta cataria,3,2122.856201,38.85979501,-104.934516,Present
Formica (fusca group) spp.,Hymenoptera,211,Solidago missouriensis,1,2552.12793,38.89099102,-104.975108,Present
Bombus centralis,Hymenoptera,199,Geranium caespitosum,1,2761.229492,38.92533101,-105.021909,Present
Argynnini spp.,Lepidoptera,143,Erysimum capitatum,1,2556.6311,38.890939,-104.97509,Present
Vanessa cardui,Lepidoptera,143,Erysimum capitatum,1,2556.6311,38.890939,-104.97509,Present
Vanessa cardui,Lepidoptera,143,Erysimum capitatum,1,2556.6311,38.890939,-104.97509,Present
Vanessa cardui,Lepidoptera,143,Erysimum capitatum,1,2553.89209,38.89096303,-104.975079,Present
Bombus centralis,Hymenoptera,199,Geranium caespitosum,1,2761.229492,38.92533101,-105.021909,Present
Bombus centralis,Hymenoptera,199,Geranium caespitosum,1,2761.229492,38.92533101,-105.021909,Present
Bombus centralis,Hymenoptera,199,Allium cernuum,1,2786.472168,38.92290303,-105.021523,Present
Bombus centralis,Hymenoptera,199,Chamaenerion angustifolium,1,2779.301758,38.92419803,-105.022257,Present
Bombus centralis,Hymenoptera,199,Geranium caespitosum,1,2766.016113,38.92529899,-105.021892,Present
Bombus centralis,Hymenoptera,199,Geranium caespitosum,1,2766.016113,38.92529899,-105.021892,Present
Bombus centralis,Hymenoptera,199,Geranium caespitosum,1,2766.016113,38.92529899,-105.021892,Present
Bombus centralis,Hymenoptera,199,Geranium caespitosum,1,2766.016113,38.92529899,-105.021892,Present
Bombus centralis,Hymenoptera,199,Geranium caespitosum,1,2766.016113,38.92529899,-105.021892,Present
Bombus centralis,Hymenoptera,199,Geranium caespitosum,1,2766.016113,38.92529899,-105.021892,Present
Bombus centralis,Hymenoptera,199,Melilotus officinalis,1,2776.851562,38.92388698,-105.022619,Present
Bombus centralis,Hymenoptera,202,Allium cernuum,1,2793.83545,38.922951,-105.02139,Present
Bombus centralis,Hymenoptera,198,Allium cernuum,1,2586.756104,38.89059104,-104.976039,Present
